audio,sentence
data/audio/161.wav,"Nous avons effectué une reconstruction du ligament croisé antérieur en utilisant une greffe autologue du tendon rotulien, avec une fixation par vis d'interférence et une suture secondaire pour assurer une stabilité optimale."
data/audio/10.wav,"La cholécystectomie laparoscopique a été réalisée avec succès, sans complications peropératoires, et le patient présente une récupération prompte postopératoire."
data/audio/146.wav,"Le rapport révèle une fonction hépatique normale, sans anomalies enzymatiques ni altérations biliaires ou hépatocellulaires."
data/audio/197.wav,"La résection cortico-sous-corticale a permis une déconnexion efficace des foyers épileptogènes, avec une réduction significative des crises postopératoires."
data/audio/22.wav,"Suite à l'hystérectomie abdominale, la patiente présente une récupération postopératoire optimale, sans complications hémorragiques ni infectieuses, et une cicatrisation tissulaire satisfaisante."
data/audio/218.wav,"La réparation de la dissection aortique a impliqué une anastomose distale sous clampage avec une prothèse en Dacron, suivie d'une hémiarch remplacement avec reimplantation des vaisseaux supra-aortiques."
data/audio/154.wav,"Le rapport biologique révèle une thyroïdite de Hashimoto, caractérisée par une infiltration lymphocytaire et une fibrose interstitielle, avec présence d'anticorps anti-TPO et anti-thyroglobuline."
data/audio/222.wav,"La correction de la tétralogie de Fallot a été réalisée avec succès, y compris la réparation de la communication interventriculaire et la dérivation valvulaire pulmonaire."
data/audio/64.wav,"Je vous recommande de prescrire une antibiothérapie ciblée pour la pyélonéphrite aiguë, accompagnée d'analgésiques pour soulager la dysurie et la pollakiurie."
data/audio/98.wav,Le scanner abdominal révèle une lithiase rénale obstructive avec hydronephrose modérée et dilatation urétérale distale.
data/audio/123.wav,"Une hyperintensité en T2 au niveau de la substance blanche périventriculaire, évocatrice d'une gliose, a été observée sur l'IRM cérébral."
data/audio/106.wav,Le scanner pelvien révèle une morphologie normale sans anomalie pathologique notable.
data/audio/127.wav,"Le rapport révèle une anémie légère, caractérisée par une diminution des érythrocytes et une légère hypochromie."
data/audio/120.wav,Le scanner thoracique révèle une embolie pulmonaire avec des signes évocateurs d'hypertension artérielle pulmonaire et d'infarctus pulmonaire.
data/audio/133.wav,"Le rapport de laboratoire biologique révèle une hypercholestérolémie marquée, suggérant une accumulation excessive de lipoprotéines de basse densité."
data/audio/209.wav,"Le pontage coronarien a été réalisé avec succès, incluant des anastomoses distales et proximales sans complications, malgré une revascularisation complexe nécessitant une dissection minutieuse des artères mammaires internes."
data/audio/198.wav,"L'intervention de lobectomie temporale a révélé une gliose mésiale significative, suggérant une épileptogenèse focale."
data/audio/27.wav,"La césarienne s'est déroulée sans encombre, avec une extraction atraumatique et une hémostase parfaite."
data/audio/141.wav,"Cher confrère, le rapport révèle une hyperglycémie marquée, suggérant une dysrégulation métabolique potentiellement indicative d'un diabète sucré."
data/audio/55.wav,Je vous recommande de prescrire des antalgiques associés à un corticoïde oral pour soulager les symptômes inflammatoires de l'otite aiguë de ce patient.
data/audio/54.wav,Pensez à prescrire des antibiotiques à spectre étroit et des antalgiques adjuvants pour le patient présentant une otite aiguë.
data/audio/164.wav,"La réparation du ligament croisé antérieur a été effectuée avec succès, en utilisant une greffe autologue du tendon patellaire, sans complications intraopératoires."
data/audio/132.wav,"Le rapport de laboratoire biologique révèle une hypercholestérolémie marquée, suggérant une dyslipidémie sévère nécessitant une intervention thérapeutique urgente."
data/audio/181.wav,"La craniotomie pour excision de la tumeur gliale intracrânienne s'est déroulée sans complications majeures, avec une hémostase satisfaisante et une récupération neurologique prometteuse."
data/audio/220.wav,"Lors de l'intervention, nous avons procédé à une réparation de la dissection aortique en utilisant une prothèse endovasculaire pour stabiliser la paroi aortique et prévenir la propagation de la fissure intimo-médiale."
data/audio/166.wav,"La fusion vertébrale s'est déroulée sans complications, avec une ostéosynthèse parfaite et une récupération postopératoire optimale."
data/audio/30.wav,"La césarienne s'est déroulée sans complications, avec une hémostase parfaite et une récupération rapide de la patiente."
data/audio/119.wav,Le scanner thoracique révèle une embolie pulmonaire segmentaire avec des signes de thrombose veineuse profonde sous-jacente.
data/audio/79.wav,"Le rapport radiologique révèle une arthrose avancée du genou, caractérisée par une ostéophytose prononcée et une réduction de l'espace articulaire."
data/audio/63.wav,"Pourriez-vous prescrire une ordonnance pour un patient présentant une cystite aiguë, en incluant des antibiotiques adaptés à la sensibilité bactérienne et des antispasmodiques pour soulager les symptômes ?"
data/audio/21.wav,"Une hystérectomie abdominale réussie sans complications peropératoires, avec une hémostase parfaite et une cicatrisation optimale des tissus péritonéaux."
data/audio/05.wav,"L'appendicectomie s'est déroulée sans complications, avec une excision précise de l'appendice inflammé et une hémostase parfaite."
data/audio/07.wav,"La cholécystectomie laparoscopique s'est déroulée sans complications, permettant une ablation complète de la vésicule biliaire avec une hémostase parfaite et une récupération postopératoire optimale."
data/audio/165.wav,"La reconstruction du ligament croisé antérieur par greffe autologue a permis une restauration satisfaisante de la stabilité articulaire, sans complication peropératoire notable."
data/audio/137.wav,"Le rapport de laboratoire biologique révèle une urine turbide avec une leucocyturie marquée et une bactériurie significative, suggérant une infection urinaire probable."
data/audio/186.wav,"La laminectomie et la discectomie ont permis une décompression efficace du canal médullaire et des racines nerveuses, sans complications peropératoires."
data/audio/194.wav,"L'intervention pour l'anévrisme cérébral a révélé une dissection artérielle nécessitant une clippée endovasculaire complexe, avec succès malgré une vasospasme transitoire."
data/audio/219.wav,"La réparation de la dissection aortique a nécessité une thrombectomie intraluminale et une réimplantation des ostia coronaires, avec une reconstruction de la racine aortique et une anastomose distale étanche."
data/audio/36.wav,"Pourriez-vous rédiger une ordonnance pour un patient présentant une infection respiratoire aiguë avec suspicion de pneumopathie bactérienne, nécessitant une antibiothérapie ciblée et un traitement symptomatique adapté ?"
data/audio/177.wav,"La réparation du tendon d'Achille a été réalisée avec succès, utilisant une technique de suture en Z modifiée et un renforcement par greffe fasciale, assurant une stabilité optimale et une cicatrisation accélérée."
data/audio/172.wav,"La réduction de la fracture de l'humérus a été réalisée par un alignement anatomique précis, suivi d'une ostéosynthèse méticuleuse, assurant une stabilité optimale."
data/audio/33.wav,"Lors de la craniotomie, la décompression des structures cérébrales adjacentes à l'hématome sous-dural a révélé une complexité imprévue due à la présence d'anastomoses vasculaires anormales."
data/audio/24.wav,"Une hystérectomie abdominale réussie sans complications postopératoires, grâce à une ligature méticuleuse des vaisseaux utérins et une suture parfaite des tissus péritonéaux."
data/audio/184.wav,"La craniotomie a permis une exérèse complète de la tumeur gliale intraparenchymateuse, avec préservation des structures vasculaires et parenchymateuses adjacentes."
data/audio/128.wav,"Le rapport de laboratoire biologique révèle une anémie légère, caractérisée par une diminution modérée de l'hémoglobine et une hématocrite réduite, suggérant une hypoxie tissulaire potentielle."
data/audio/215.wav,"L'intervention s'est déroulée sans complications majeures, avec une sténose aortique sévère confirmée, nécessitant une résection valvulaire et l'implantation d'une prothèse biologique, suivie d'une hémostase efficace et d'une récupération postopératoire satisfaisante."
data/audio/150.wav,"Le rapport de laboratoire biologique révèle une fonction hépatique normale, sans anomalies enzymatiques ou biliaires."
data/audio/115.wav,"Le scanner abdominal révèle appendice distendu avec épaississement pariétal, infiltration péritonéale et collection liquidienne, évoquant appendicite aiguë."
data/audio/229.wav,"L'implantation du stimulateur cardiaque s'est déroulée sans complications, avec une stabilité hémodynamique et une capture ventriculaire optimale."
data/audio/32.wav,La procédure neurochirurgicale a révélé une anastomose vasculaire complexe nécessitant une dissection méticuleuse et une ligation précise des vaisseaux aberrants.
data/audio/125.wav,"L'IRM cérébral révèle une anomalie parenchymateuse suggestive d'une gliose réactive, sans signes de compression vasculaire ni d'hydrocéphalie."
data/audio/105.wav,"Le scanner cérébral révèle une hypodensité corticale étendue, suggérant un infarctus ischémique aigu dans le territoire de l'artère cérébrale moyenne."
data/audio/94.wav,"Le rapport radiologique révèle une luxation gléno-humérale antérieure. Le scanner thoracique, quant à lui, ne présente aucune anomalie."
data/audio/51.wav,Je vous recommande de prescrire une antibiothérapie ciblée associée à un antalgique pour soulager l'inflammation et la douleur causées par l'otite aiguë de ce patient.
data/audio/100.wav,"Le scanner abdominal révèle une lithiase rénale bilatérale avec dilatation pyélocalicielle prédominante à gauche, suggérant une obstruction urétérale significative."
data/audio/12.wav,"La réparation de la hernie inguinale s'est déroulée sans complications, avec une dissection précise du sac herniaire et une fermeture parfaite de l'anneau inguinal."
data/audio/221.wav,"La réparation de la tétralogie de Fallot a été réalisée avec succès, incluant la fermeture du canal ventriculaire et la correction de la sténose pulmonaire."
data/audio/90.wav,Le rapport radiologique révèle une scoliose légère avec une courbure dorsale dextroconvexe et une rotation vertébrale mineure.
data/audio/91.wav,"Le rapport radiologique révèle une luxation gléno-humérale, tandis que le scanner thoracique ne présente aucune anomalie."
data/audio/28.wav,"La césarienne s'est déroulée sans encombre, avec une incision pfannenstiel impeccable et une récupération postopératoire optimale."
data/audio/09.wav,"La cholécystectomie laparoscopique s'est déroulée sans encombre, avec une dissection précise du triangle de Calot et une hémostase impeccable."
data/audio/206.wav,"L'intervention de pontage coronarien s'est déroulée sans complications, avec une anastomose distale efficace et une revascularisation myocardique optimale."
data/audio/124.wav,"L'IRM cérébral révèle une hyperintensité en T2 au niveau de la substance blanche périventriculaire, suggérant une démyélinisation probable."
data/audio/35.wav,L'intervention neurochirurgicale complexe nécessite une anastomose cérébrovasculaire précise pour éviter des séquelles neurologiques postopératoires.
data/audio/151.wav,"Le rapport biologique révèle une thyroïdite de Hashimoto caractérisée par une infiltration lymphocytaire et une fibrose diffuse, confirmant une pathologie auto-immune."
data/audio/211.wav,"Le patient a subi un remplacement valvulaire aortique par voie sternotomique, avec implantation d'une bioprothèse péristaltique, sans complications peropératoires notables."
data/audio/86.wav,Le rapport radiologique révèle une scoliose légère avec une déviation latérale de la colonne vertébrale et une rotation axiale mineure des vertèbres.
data/audio/44.wav,Je recommande une ordonnance incluant des inhibiteurs de l'enzyme de conversion de l'angiotensine et des diurétiques thiazidiques pour stabiliser la pression artérielle du patient.
data/audio/159.wav,"L'arthroplastie de la hanche a été réalisée avec succès, la prothèse implantée présente une excellente stabilité osseuse et articulaire, sans signe de complications peropératoires."
data/audio/47.wav,"Pourriez-vous prescrire une ordonnance incluant des hypoglycémiants oraux et un régime hypocalorique adapté pour ce patient atteint de diabète de type 2, afin de stabiliser sa glycémie et prévenir des complications métaboliques ?"
data/audio/153.wav,"Un rapport de laboratoire biologique révèle une hyperplasie lymphocytaire et une fibrose parenchymateuse, suggérant une thyroïdite de Hashimoto."
data/audio/135.wav,"Le rapport de laboratoire biologique révèle une hypercholestérolémie, suggérant une dyslipidémie nécessitant une investigation approfondie des lipoprotéines."
data/audio/228.wav,"L'implantation du stimulateur cardiaque s'est déroulée avec succès, sans complications majeures. L'évaluation post-opératoire montre une capture ventriculaire optimale et une fonction sinusale préservée."
data/audio/131.wav,"Le rapport de laboratoire révèle une hypercholestérolémie marquée, suggérant une dyslipidémie potentiellement liée à une stéatose hépatique ou une atherosclérose précoce."
data/audio/207.wav,"Le pontage coronarien a permis une revascularisation complète des artères compromises, rétablissant une perfusion adéquate du myocarde avec une récupération fonctionnelle satisfaisante."
data/audio/116.wav,Le scanner thoracique révèle une embolie pulmonaire segmentaire avec hypodensité intravasculaire et dilatation des bronches adjacentes.
data/audio/42.wav,Pourriez-vous prescrire un inhibiteur de l'enzyme de conversion de l'angiotensine associé à un diurétique thiazidique pour notre patient présentant une hypertension artérielle essentielle ?
data/audio/38.wav,"Pourriez-vous prescrire une ordonnance incluant un antibiotique à large spectre, un expectorant mucolytique et un antitussif central pour notre patient souffrant d'une infection respiratoire aiguë ?"
data/audio/169.wav,"La fusion vertébrale s'est déroulée sans complications, avec une ostéosynthèse parfaite et une récupération neurologique satisfaisante."
data/audio/130.wav,"Le rapport de laboratoire révèle une anémie légère, caractérisée par une diminution significative de l'hémoglobine et des globules rouges, sans hématocrite notablement altéré."
data/audio/93.wav,"Le rapport radiologique révèle une luxation gléno-humérale antérieure avec une absence de fracture osseuse associée. Parallèlement, le rapport de scanner thoracique montre des structures pulmonaires et médiastinales normales, sans signe de pathologie."
data/audio/138.wav,"Le rapport de laboratoire biologique révèle une pyurie significative et une présence notable de bactériurie, suggérant une infection urinaire probable."
data/audio/180.wav,"La réparation du tendon d'Achille a été réalisée avec succès, utilisant une technique de suture en boucle de Krackow pour assurer une tension optimale et une cicatrisation rapide."
data/audio/45.wav,Je vous recommande d'ajouter un diurétique thiazidique et un inhibiteur calcique pour optimiser la prise en charge de l'hypertension de notre patient.
data/audio/134.wav,"Le rapport révèle une hypercholestérolémie marquée, suggérant une dyslipidémie nécessitant une intervention immédiate."
data/audio/227.wav,"L'implantation du stimulateur cardiaque s'est déroulée avec succès, avec une dissection minimale et une hémostase optimale, sans complications vasculaires ni thromboemboliques."
data/audio/29.wav,"La césarienne s'est déroulée sans anicroche, avec une incision pfannenstiel impeccable et une hémostase parfaite."
data/audio/08.wav,"La cholécystectomie laparoscopique a été réalisée avec succès, sans complications hémorragiques ni lésions biliaires, et le patient présente une récupération postopératoire optimale."
data/audio/190.wav,"Suite à l'intervention chirurgicale pour hernie discale, la décompression de la racine nerveuse a été réalisée avec succès, suivie d'une discectomie complète et d'une arthrodèse postérieure, sans complications peropératoires notables."
data/audio/143.wav,"Le rapport de laboratoire biologique présente une hyperglycémie marquée, suggérant une possible dysrégulation métabolique."
data/audio/216.wav,"La réparation de la dissection aortique a été réalisée avec succès, la lamelle intimale a été réséquée et la lumière vraie restaurée par anastomose aortique sous circulation extracorporelle."
data/audio/77.wav,Le rapport radiologique révèle une ostéophytose périphérique du genou avec pincement articulaire et sclérose osseuse sous-chondrale.
data/audio/60.wav,Pourriez-vous rédiger une ordonnance incluant des bronchodilatateurs à action rapide et des corticostéroïdes inhalés pour notre patient asthmatique en phase aiguë ?
data/audio/82.wav,Le rapport radiologique révèle une fracture diaphysaire comminutive de la clavicule gauche avec déplacement.
data/audio/14.wav,"Une hernioplastie inguinale laparoscopique réalisée avec succès, sans incidence de bréchage ni de réaction péritonéale."
data/audio/168.wav,"La fusion vertébrale s'est déroulée sans complications, avec une ostéosynthèse parfaite et une récupération neurologique optimale."
data/audio/126.wav,"Un rapport biologique révèle une anémie légère, caractérisée par une diminution des globules rouges et une réduction de l'hémoglobine, suggérant une possible carence en fer ou une hémolyse modérée."
data/audio/101.wav,Le scanner cérébral révèle une hypodensité corticale suggérant un infarctus ischémique aigu au niveau de l'artère cérébrale moyenne.
data/audio/195.wav,"L'intervention pour anévrisme cérébral s'est déroulée sans complications majeures, avec une occlusion complète obtenue par clipping, assurant une hémostase optimale et prévenant une rupture ultérieure."
data/audio/178.wav,"La réparation du tendon d'Achille s'est déroulée sans complications, avec une suture en points de rapprochement et une immobilisation postopératoire en équin."
data/audio/170.wav,"La fusion vertébrale s'est déroulée sans complications, avec une ostéosynthèse parfaite et une réduction anatomique optimale."
data/audio/73.wav,"Le rapport radiologique révèle une opacité alvéolaire confluente associée à une consolidation pulmonaire, suggérant une pneumonie lobaire aiguë."
data/audio/78.wav,Le rapport radiologique révèle une arthrose du genou avec ostéophytes marginaux et pincement articulaire.
data/audio/176.wav,"La réparation du tendon d'Achille s'est déroulée avec succès, la suture en points de Krackow a permis une excellente coaptation des fibres tendineuses, sans signe d'hématome ni de déhiscence."
data/audio/102.wav,"Le scanner cérébral révèle une hypodensité corticale diffuse, évoquant un infarctus ischémique aigu dans le territoire de l'artère cérébrale moyenne."
data/audio/107.wav,"Le scanner pelvien ne révèle aucune anomalie structurelle ou fonctionnelle, les organes semblent intacts et bien différenciés, sans signe de pathologie sous-jacente."
data/audio/149.wav,"Le rapport de laboratoire biologique révèle une fonctionnalité hépatique optimale, sans dysfonctionnement notable des enzymes hépatiques ni altération des marqueurs sériques de cholestase."
data/audio/66.wav,Le rapport radiologique révèle une fracture transverse complète du tibia.
data/audio/214.wav,"Le remplacement de la valve aortique s'est déroulé sans complications, avec une bonne récupération postopératoire et une fonction valvulaire optimale."
data/audio/110.wav,Le scanner pelvien présente une anatomie normale sans lésion pathologique notable.
data/audio/40.wav,"Je pense que ce patient nécessite une ordonnance incluant des antibiotiques à large spectre pour traiter une infection respiratoire aiguë, ainsi qu'un antitussif pour soulager les symptômes associés."
data/audio/160.wav,"L'arthroplastie de la hanche s'est déroulée sans complications, avec une prothèse parfaitement intégrée et une mobilité articulaire optimale."
data/audio/70.wav,Le rapport radiologique démontre une fracture transverse du tibia avec épanchement hémorragique périosté.
data/audio/217.wav,"La réparation chirurgicale de la dissection aortique a nécessité une anastomose prothétique ascendante avec remplacement valvulaire, sans complications intraopératoires significatives."
data/audio/59.wav,Je propose une ordonnance combinant un agoniste bêta-2 à action prolongée avec un corticostéroïde inhalé pour optimiser la gestion de l'asthme du patient.
data/audio/80.wav,"Le rapport radiologique révèle une ostéophytosis marginale marquée, une sclérose sous-chondrale et un pincement de l'interligne articulaire, tous signes évocateurs d'une arthrose genou avancée."
data/audio/152.wav,"Un rapport de laboratoire biologique révèle une thyroïdite de Hashimoto avec présence d'anticorps anti-thyroperoxydase et infiltration lymphocytaire marquée, suggérant une pathologie auto-immune active."
data/audio/144.wav,"Le rapport de laboratoire biologique révèle une hyperglycémie prononcée, suggérant une possible décompensation diabétique."
data/audio/192.wav,"L'opération d'embolisation endovasculaire de l'anévrisme cérébral s'est déroulée sans complications majeures, avec une occlusion complète de la lésion et une récupération postopératoire satisfaisante du patient."
data/audio/140.wav,"Le rapport de laboratoire biologique révèle une pyurie significative, indiquant une infection urinaire avec présence de leucocytes et bactériurie."
data/audio/48.wav,"Je vous recommande de prescrire une ordonnance comprenant des antidiabétiques oraux, des statines pour la gestion lipidique, et des inhibiteurs de l'ECA pour le contrôle de l'hypertension associée."
data/audio/96.wav,Le rapport de scanner abdominal révèle une lithiase rénale gauche avec calcification corticale et dilatation du bassinet.
data/audio/71.wav,"Le rapport radiologique révèle une opacité alvéolaire diffuse associée à un épanchement pleural, suggérant une pneumonie lobaire."
data/audio/43.wav,"Cordialement, pourriez-vous prescrire une combinaison d'inhibiteurs de l'enzyme de conversion de l'angiotensine et de diurétiques thiazidiques pour notre patient atteint d'hypertension résistante ?"
data/audio/148.wav,"Les résultats démontrent une fonction hépatique normale, sans altération des paramètres biliaires ou hépatocellulaires."
data/audio/139.wav,"Le rapport indique une pyurie significative avec présence de bactériurie, suggérant une infection urinaire aiguë."
data/audio/175.wav,"La réduction de la fracture de l'humérus proximal a été réalisée avec succès, sans complications intra-opératoires, et une ostéosynthèse par plaque vissée a permis une stabilisation optimale."
data/audio/114.wav,Le scanner abdominal révèle une appendicite aiguë avec inflammation péritonéale et épaississement de la paroi appendiculaire.
data/audio/147.wav,"Le rapport de laboratoire biologique démontre une fonction hépatique optimale, sans anomalies significatives des marqueurs enzymatiques ou biliaires."
data/audio/34.wav,"La craniectomie décompressive, suivie d'une exérèse méticuleuse de l'hématome sous-dural, a révélé une complexité anatomique inattendue nécessitant une microdissection prudente des structures neuronales adjacentes."
data/audio/92.wav,"Le rapport radiologique révèle une luxation gléno-humérale, tandis que le scanner thoracique est normal, sans anomalies pulmonaires ou médiastinales."
data/audio/61.wav,"Cher confrère, je vous prie de bien vouloir prescrire une antibiothérapie appropriée pour notre patient présentant une cystite aiguë, avec une attention particulière à la sensibilité bactérienne et aux éventuelles comorbidités."
data/audio/65.wav,"Je vous recommande de prescrire une ordonnance incluant un antibiotique à large spectre pour traiter l'infection urinaire, ainsi qu'un antispasmodique pour soulager les symptômes associés."
data/audio/212.wav,Le patient a subi une résection de la valve aortique sténosée avec implantation d'une bioprothèse sans complications peropératoires.
data/audio/129.wav,"Cher confrère, le rapport de laboratoire biologique révèle une anémie légère, caractérisée par une hypochromie et une microcytose, suggérant une possible carence en fer."
data/audio/31.wav,La craniectomie décompressive suivie d'une exérèse tumorale intracrânienne a révélé une anatomie vasculaire complexe nécessitant une microdissection méticuleuse.
data/audio/85.wav,"Le rapport radiologique révèle une fracture transverse non déplacée de la clavicule, sans signe d'ostéoporose périphérique."
data/audio/06.wav,"La cholécystectomie laparoscopique s'est déroulée sans complication, avec une hémostase optimale et une dissection péritonéale minutieuse."
data/audio/142.wav,"Le rapport biologique révèle une hyperglycémie marquée, suggérant une possible dysrégulation métabolique."
data/audio/230.wav,"L'implantation du stimulateur cardiaque s'est déroulée sans complications, avec une hémostase adéquate et une capture ventriculaire optimale."
data/audio/213.wav,"Le patient a subi un remplacement valvulaire aortique par bioprothèse, avec résection de calcifications annulaires et réimplantation coronarienne."
data/audio/25.wav,"Une hystérectomie abdominale réussie nécessite une maîtrise précise de la dissection des ligaments utéro-sacrés et des artères utérines, tout en préservant les structures adjacentes."
data/audio/189.wav,"La décompression microchirurgicale du nerf lombaire a permis une résection complète du fragment discal hernié, avec une hémostase satisfaisante et une stabilité vertébrale préservée."
data/audio/185.wav,La craniotomie a permis l'exérèse complète d'un glioblastome fronto-temporal avec une hémostase parfaite et une décompression efficace des structures adjacentes.
data/audio/200.wav,"L'exérèse complète du foyer épileptogène cortical a permis l'élimination des crises résistantes, sans complications postopératoires."
data/audio/174.wav,"La fracture de l'humérus a été réduite par ostéosynthèse interne, permettant une stabilisation anatomique et une récupération fonctionnelle optimale."
data/audio/76.wav,"Le rapport radiologique révèle une ostéoarthrite sévère du compartiment fémoro-tibial interne, avec ostéophytes marginaux et pincement articulaire."
data/audio/162.wav,"Suite à l'intervention, la reconstruction du ligament croisé antérieur a été réalisée avec une greffe autologue du tendon ischio-jambier, assurant une stabilité rotatoire satisfaisante et une intégrité ligamentaire optimale."
data/audio/88.wav,Le rapport radiologique révèle une scoliose légère avec rotation vertébrale modérée et asymétrie des arcs costaux.
data/audio/84.wav,"Le rapport radiologique révèle une fracture diaphysaire transverse de la clavicule, avec un déplacement notable et une fragmentation osseuse."
data/audio/205.wav,"La décompression microvasculaire a permis une réduction significative de la compression neurovasculaire, améliorant la perfusion cérébrale et soulageant les symptômes de névralgie trigéminale."
data/audio/99.wav,Le rapport de scanner abdominal révèle une lithiase rénale bilatérale avec microcalcifications corticales.
data/audio/113.wav,"Radiologue, le scanner abdominal révèle une appendicite aiguë avec épaississement pariétal et infiltration graisseuse péritonéale."
data/audio/62.wav,Pourriez-vous prescrire une ordonnance incluant des antibiotiques à large spectre et des antispasmodiques pour un patient présentant une cystite aiguë avec pyurie et dysurie ?
data/audio/16.wav,"La mastectomie bilatérale s'est déroulée sans incident peropératoire, avec une hémostase optimale et une préservation adéquate des structures nerveuses et vasculaires."
data/audio/191.wav,"L'intervention pour l'anévrisme cérébral a révélé une rupture du sac anévrismal avec hémorragie sous-arachnoïdienne, nécessitant une clippage microchirurgical précis pour éviter toute complication vasospastique."
data/audio/108.wav,"Le scanner pelvien révèle des structures anatomiques sans anomalies évidentes, confirmant ainsi l'absence de pathologies notables."
data/audio/179.wav,"La réparation du tendon d'Achille a nécessité une tenotomie partielle et une suture en Kessler, suivie d'une immobilisation temporaire en équinisme."
data/audio/53.wav,Je prescris une antibiothérapie ciblée associée à un antalgique local pour traiter cette otite moyenne aiguë chez notre patient.
data/audio/188.wav,"La décompression microchirurgicale de la hernie discale lombaire a été réalisée sans complication, avec une excision complète du matériel discal extrudé et une décompression adéquate des structures neurales adjacentes."
